"date","symbol","exchange","price_usd","daily_open_usd","daily_high_usd","daily_low_usd","volume","change_percent","date_time_utc","pk_dummy","pkey"
"2019-09-25","DASH","HitBTC",7237,7158,7599,6926,2299,1.25,"2019-09-25 00:00:00","2019-09-25 00","2019-09-25 00DASH"
"2019-09-24","DASH","HitBTC",7148,8690,8800,6729,2199,-17.67,"2019-09-24 00:00:00","2019-09-24 00","2019-09-24 00DASH"
"2019-09-23","DASH","HitBTC",8681,9064,9074,8663,1206,-4.31,"2019-09-23 00:00:00","2019-09-23 00","2019-09-23 00DASH"
"2019-09-22","DASH","HitBTC",9072,9305,9369,9064,945,-2.53,"2019-09-22 00:00:00","2019-09-22 00","2019-09-22 00DASH"
"2019-09-21","DASH","HitBTC",9307,9672,9681,9262,1151,-3.7,"2019-09-21 00:00:00","2019-09-21 00","2019-09-21 00DASH"
"2019-09-20","DASH","HitBTC",9665,9992,9992,9534,2741,-3.27,"2019-09-20 00:00:00","2019-09-20 00","2019-09-20 00DASH"
"2019-09-19","DASH","HitBTC",9992,9788,10404,9072,2861,2.11,"2019-09-19 00:00:00","2019-09-19 00","2019-09-19 00DASH"
"2019-09-18","DASH","HitBTC",9785,9445,9827,9399,1819,3.81,"2019-09-18 00:00:00","2019-09-18 00","2019-09-18 00DASH"
"2019-09-17","DASH","HitBTC",9426,9249,9934,9072,1330,1.93,"2019-09-17 00:00:00","2019-09-17 00","2019-09-17 00DASH"
"2019-09-16","DASH","HitBTC",9247,8870,9415,8780,1149,4.24,"2019-09-16 00:00:00","2019-09-16 00","2019-09-16 00DASH"
"2019-09-15","DASH","HitBTC",8870,9130,9143,8856,877,-2.84,"2019-09-15 00:00:00","2019-09-15 00","2019-09-15 00DASH"
"2019-09-14","DASH","HitBTC",9130,9338,9448,9032,1646,-2.14,"2019-09-14 00:00:00","2019-09-14 00","2019-09-14 00DASH"
"2019-09-13","DASH","HitBTC",9330,8517,9440,8448,1494,9.54,"2019-09-13 00:00:00","2019-09-13 00","2019-09-13 00DASH"
"2019-09-12","DASH","HitBTC",8517,8239,9812,8139,1279,3.38,"2019-09-12 00:00:00","2019-09-12 00","2019-09-12 00DASH"
"2019-09-11","DASH","HitBTC",8239,8293,8486,8177,419,-0.77,"2019-09-11 00:00:00","2019-09-11 00","2019-09-11 00DASH"
"2019-09-10","DASH","HitBTC",8303,8615,8689,8238,445,-3.62,"2019-09-10 00:00:00","2019-09-10 00","2019-09-10 00DASH"
"2019-09-09","DASH","HitBTC",8615,8770,8880,8540,618,-1.66,"2019-09-09 00:00:00","2019-09-09 00","2019-09-09 00DASH"
"2019-09-08","DASH","HitBTC",8760,8391,8769,8379,612,4.4,"2019-09-08 00:00:00","2019-09-08 00","2019-09-08 00DASH"
"2019-09-07","DASH","HitBTC",8391,8013,8436,7996,783,4.72,"2019-09-07 00:00:00","2019-09-07 00","2019-09-07 00DASH"
"2019-09-06","DASH","HitBTC",8013,8000,8300,7793,749,0.02,"2019-09-06 00:00:00","2019-09-06 00","2019-09-06 00DASH"
"2019-09-05","DASH","HitBTC",8012,8087,8189,7991,714,-0.92,"2019-09-05 00:00:00","2019-09-05 00","2019-09-05 00DASH"
"2019-09-04","DASH","HitBTC",8087,8265,8273,7996,645,-2.27,"2019-09-04 00:00:00","2019-09-04 00","2019-09-04 00DASH"
"2019-09-03","DASH","HitBTC",8274,8130,8365,7988,864,1.83,"2019-09-03 00:00:00","2019-09-03 00","2019-09-03 00DASH"
"2019-09-02","DASH","HitBTC",8126,7950,8307,7939,742,2.28,"2019-09-02 00:00:00","2019-09-02 00","2019-09-02 00DASH"
"2019-09-01","DASH","HitBTC",7944,7987,8041,7811,507,-0.55,"2019-09-01 00:00:00","2019-09-01 00","2019-09-01 00DASH"
"2019-08-31","DASH","HitBTC",7988,8022,8200,7827,1003,-0.39,"2019-08-31 00:00:00","2019-08-31 00","2019-08-31 00DASH"
